typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20250301,2025,3,202503,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,812793.148,TRUE,0,FALSE,1288746272,1285718068,1288746272,6,FALSE,TRUE
C,M,20250401,2025,4,202504,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,53726.549,TRUE,0,FALSE,84890063,83541023,84890063,6,FALSE,TRUE
C,M,20250401,2025,4,202504,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,190.748,TRUE,0,FALSE,290888,289526,290888,6,FALSE,TRUE
C,M,20250401,2025,4,202504,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,62187.09,TRUE,0,FALSE,96447347,94910266,96447347,6,FALSE,TRUE
C,M,20250401,2025,4,202504,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,60964.198,TRUE,0,FALSE,99286806,98905238,99286806,6,FALSE,TRUE
C,M,20250401,2025,4,202504,842,USA,USA,M,Import,458,MYS,Malaysia,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,458865.773,TRUE,0,FALSE,730153936,727661410,730153936,6,FALSE,TRUE
C,M,20250501,2025,5,202505,842,USA,USA,M,Import,156,CHN,China,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,70860.004,TRUE,0,FALSE,112035759,110911237,112035759,6,FALSE,TRUE
C,M,20250501,2025,5,202505,842,USA,USA,M,Import,344,HKG,"China, Hong Kong SAR",0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,266.841,TRUE,0,FALSE,469314,465605,469314,6,FALSE,TRUE
C,M,20250501,2025,5,202505,842,USA,USA,M,Import,392,JPN,Japan,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,65035.446,TRUE,0,FALSE,95231042,93756402,95231042,6,FALSE,TRUE
C,M,20250501,2025,5,202505,842,USA,USA,M,Import,410,KOR,Rep. of Korea,0,W00,World,H6,HS,TRUE,8542,Electronic integrated circuits,4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,-1,N/A,0,TRUE,-1,N/A,0,FALSE,69953.612,TRUE,0,FALSE,113909858,113078178,113909858,6,FALSE,TRUE
